100;30;190;100;140;120;170;140;120;130;110;80;140;120;80;40;100;100;80;90;140;110;160;180;200;110;
30;9;57;30;42;36;51;42;36;39;33;24;42;36;24;12;30;30;24;27;42;33;48;54;60;33;
190;57;361;190;266;228;323;266;228;247;209;152;266;228;152;76;190;190;152;171;266;209;304;342;380;209;
100;30;190;100;140;120;170;140;120;130;110;80;140;120;80;40;100;100;80;90;140;110;160;180;200;110;
140;42;266;140;196;168;238;196;168;182;154;112;196;168;112;56;140;140;112;126;196;154;224;252;280;154;
120;36;228;120;168;144;204;168;144;156;132;96;168;144;96;48;120;120;96;108;168;132;192;216;240;132;
170;51;323;170;238;204;289;238;204;221;187;136;238;204;136;68;170;170;136;153;238;187;272;306;340;187;
140;42;266;140;196;168;238;196;168;182;154;112;196;168;112;56;140;140;112;126;196;154;224;252;280;154;
120;36;228;120;168;144;204;168;144;156;132;96;168;144;96;48;120;120;96;108;168;132;192;216;240;132;
130;39;247;130;182;156;221;182;156;169;143;104;182;156;104;52;130;130;104;117;182;143;208;234;260;143;
110;33;209;110;154;132;187;154;132;143;121;88;154;132;88;44;110;110;88;99;154;121;176;198;220;121;
80;24;152;80;112;96;136;112;96;104;88;64;112;96;64;32;80;80;64;72;112;88;128;144;160;88;
140;42;266;140;196;168;238;196;168;182;154;112;196;168;112;56;140;140;112;126;196;154;224;252;280;154;
120;36;228;120;168;144;204;168;144;156;132;96;168;144;96;48;120;120;96;108;168;132;192;216;240;132;
80;24;152;80;112;96;136;112;96;104;88;64;112;96;64;32;80;80;64;72;112;88;128;144;160;88;
40;12;76;40;56;48;68;56;48;52;44;32;56;48;32;16;40;40;32;36;56;44;64;72;80;44;
100;30;190;100;140;120;170;140;120;130;110;80;140;120;80;40;100;100;80;90;140;110;160;180;200;110;
100;30;190;100;140;120;170;140;120;130;110;80;140;120;80;40;100;100;80;90;140;110;160;180;200;110;
80;24;152;80;112;96;136;112;96;104;88;64;112;96;64;32;80;80;64;72;112;88;128;144;160;88;
90;27;171;90;126;108;153;126;108;117;99;72;126;108;72;36;90;90;72;81;126;99;144;162;180;99;
140;42;266;140;196;168;238;196;168;182;154;112;196;168;112;56;140;140;112;126;196;154;224;252;280;154;
110;33;209;110;154;132;187;154;132;143;121;88;154;132;88;44;110;110;88;99;154;121;176;198;220;121;
160;48;304;160;224;192;272;224;192;208;176;128;224;192;128;64;160;160;128;144;224;176;256;288;320;176;
180;54;342;180;252;216;306;252;216;234;198;144;252;216;144;72;180;180;144;162;252;198;288;324;360;198;
200;60;380;200;280;240;340;280;240;260;220;160;280;240;160;80;200;200;160;180;280;220;320;360;400;220;
110;33;209;110;154;132;187;154;132;143;121;88;154;132;88;44;110;110;88;99;154;121;176;198;220;121;
